TYPE,ID,SCORE,SIGNAL,CONFIDENCE,UPDATED,REASON
# Matrix Nano Manus Bias Input (Simplified v2.0)
# Updated by Manus AI daily before NY session
#
# TYPE: MARKET (overall) or ASSET_CLASS
# ID: OVERALL, INDICES, COMMODITIES, FX
# SCORE: -10 to +10 (integer)
# SIGNAL: STRONG_BULLISH, BULLISH, SLIGHT_BULLISH, NEUTRAL, SLIGHT_BEARISH, BEARISH, STRONG_BEARISH
# CONFIDENCE: 1-10
# UPDATED: YYYY-MM-DD HH:MM
# REASON: Brief explanation
#
# === OVERALL MARKET BIAS ===
# General risk-on/risk-off sentiment
MARKET,OVERALL,+2,SLIGHT_BULLISH,6,2026-02-20 07:30,Risk-on VIX low Fed dovish
#
# === ASSET CLASS BIAS ===
# Bias for each asset class
ASSET_CLASS,INDICES,+3,BULLISH,7,2026-02-20 07:30,Tech earnings strong economic data supportive
ASSET_CLASS,COMMODITIES,+4,BULLISH,7,2026-02-20 07:30,Weak USD supply constraints gold bid
ASSET_CLASS,FX,0,NEUTRAL,5,2026-02-20 07:30,Mixed central bank signals wait for data
